98847,2597109
98846,2597047
98845,2596984
98843,2596849
98837,2596661
98827,2596104
98826,2596039
98822,2595854
98819,2595728
98816,2595602
98813,2595411
98811,2595278
98807,2595214
98802,2595144
98801,2595080
98683,2594762
98682,2594700
98675,2594640
98674,2594577
98671,2594380
98668,2594245
98662,2593931
98660,2593799
98651,2593733
98650,2593666
98649,2593605
98647,2593472
98645,2593407
98642,2593208
99335,2609003
98641,2593142
98640,2593077
98639,2593006
98638,2592944
98637,2592881
98632,2592750
98631,2592686
98628,2592560
98626,2592500
98624,2592378
98623,2592315
98621,2592178
98620,2592113
98619,2592048
98617,2591981
98616,2591920
98612,2591718
98610,2591592
98609,2591529
98607,2591469
98606,2591403
98604,2591266
98602,2591141
98599,2591019
98597,2590960
98596,2590902
98595,2590834
98592,2590710
98591,2590651
98589,2590526
98588,2590467
98586,2590334
98582,2590074
98580,2589953
98579,2589889
98575,2589689
98571,2589557
98570,2589497
98569,2589426
98564,2589156
98563,2589087
98562,2589018
98561,2588958
98560,2588898
98557,2588695
98547,2588241
98544,2588111
98540,2587924
98539,2587867
98538,2587808
98536,2587654
98535,2587581
98533,2587521
98532,2587459
98528,2587275
98526,2587130
98513,2586821
98512,2586757
98511,2586692
98507,2586496
98506,2586434
98502,2586184
98501,2586112
98490,2585743
98481,2585683
98467,2585545
98464,2585367
98447,2585244
98446,2585183
98445,2585112
98443,2584992
98439,2584930
98433,2584806
98430,2584679
98424,2584611
98417,2584312
98413,2584124
98412,2584064
98407,2583823
98404,2583643
98403,2583574
98401,2583454
98397,2583326
98396,2583265
98395,2583206
98391,2582946
98390,2582886
98387,2582760
98382,2582430
98381,2582370
98380,2582308
98377,2582188
98365,2581466
98364,2581401
98362,2581266
98361,2581206
98360,2581146
98359,2581085
98357,2580947
98356,2580887
98353,2580704
98352,2580644
98346,2580321
98345,2580260
98343,2580138
98342,2580075
98336,2579752
98335,2579688
98333,2579627
98330,2579436
98327,2579250
98326,2579185
98325,2579119
98323,2578984
98322,2578926
98321,2578865
98320,2578801
98315,2578738
98314,2578674
98311,2578548
98305,2578416
98304,2578355
98303,2578285
98295,2578097
98294,2578034
98292,2577898
98290,2577765
98288,2577703
98287,2577638
98284,2577503
98283,2577433
98282,2577363
98281,2577293
98277,2577043
98274,2576839
98272,2576710
98271,2576644
98270,2576577
98264,2576374
98263,2576315
98261,2576179
98259,2576049
98258,2575980
98257,2575909
98256,2575846
98253,2575720
98252,2575651
98249,2575453
98248,2575382
98247,2575320
98245,2575255
98244,2575194
98241,2575061
98239,2574929
98235,2574685
98231,2574503
98228,2574303
98224,2574051
98222,2573915
99180,2606278
98221,2573845
98206,2573529
98204,2573465
98199,2573269
98198,2573209
98195,2573149
98194,2573091
98191,2573032
98185,2572847
98178,2572730
98177,2572669
99344,2609381
98174,2572553
98168,2572435
98166,2572368
98165,2572308
98161,2572193
98160,2572134
98154,2571955
98148,2571895
98146,2571827
98144,2571709
98141,2571650
98139,2571591
98136,2571472
98134,2571413
98129,2571227
98124,2570992
98122,2570932
98267,2576512
98119,2570808
98118,2570750
98115,2570571
98109,2570195
98108,2570136
98107,2570077
98106,2570017
98104,2569896
98103,2569837
98102,2569769
98093,2569647
98092,2569589
98087,2569469
