4,"Zip
Code","Place
Name",State,County,Lat,Long,RandomColumn
1462,Lunenburg,MA,Worcester,42.5884,-71.7266,0.11338602150787502
1463,Pepperell,MA,Middlesex,42.6689,-71.5934,0.8792253899376583
1464,Shirley,MA,Middlesex,42.5734,-71.6483,0.38897312583323274
1467,Still River,MA,Worcester,42.4871,-71.6131,0.6997529530235858
1468,Templeton,MA,Worcester,42.546,-72.065,0.963128042817084
1469,Townsend,MA,Middlesex,42.6525,-71.6896,0.45017518688614644
1470,Groton,MA,Middlesex,42.6112,-71.5745,0.24157247270252313
1471,Groton,MA,Middlesex,42.6112,-71.5745,0.6317979620983561
1472,West Groton,MA,Middlesex,42.6043,-71.6273,0.720529915093463
1473,Westminster,MA,Worcester,42.5483,-71.9096,0.50254138800852
1474,West Townsend,MA,Middlesex,42.6678,-71.7522,0.7196208902177241
1475,Winchendon,MA,Worcester,42.6789,-72.0475,0.6563143218813002
1501,Auburn,MA,Worcester,42.2055,-71.8391,0.7624793161220605
1503,Berlin,MA,Worcester,42.3844,-71.6356,0.6726974287772508
1504,Blackstone,MA,Worcester,42.0287,-71.5269,0.32021324872505186
1505,Boylston,MA,Worcester,42.3377,-71.731,0.867364065942557
1506,Brookfield,MA,Worcester,42.1991,-72.0989,0.1869989327841527
1507,Charlton,MA,Worcester,42.1379,-71.9664,0.4748815185212196
1508,Charlton City,MA,Worcester,42.1459,-71.9884,0.03802980350394847
1509,Charlton Depot,MA,Worcester,42.1731,-71.9787,0.8048238002175885
1510,Clinton,MA,Worcester,42.4181,-71.6828,0.3589630428186865
1515,East Brookfield,MA,Worcester,42.2193,-72.0481,0.5397779439406617
1516,Douglas,MA,Worcester,42.0528,-71.7509,0.7401574471754642
1518,Fiskdale,MA,Worcester,42.1228,-72.1178,0.24851824234460163
1519,Grafton,MA,Worcester,42.2004,-71.6868,0.23048025292093022
1520,Holden,MA,Worcester,42.342,-71.8414,0.9623553980525246
1521,Holland,MA,Hampden,42.0403,-72.1544,0.3310715987833607
1522,Jefferson,MA,Worcester,42.3755,-71.8706,0.3859745433322802
1523,Lancaster,MA,Worcester,42.451,-71.6868,0.3527837221997032
1524,Leicester,MA,Worcester,42.237,-71.9188,0.6363844487901846
1525,Linwood,MA,Worcester,42.0973,-71.6448,0.34274308299176104
1526,Manchaug,MA,Worcester,42.0945,-71.7476,0.7880898969467268
1527,Millbury,MA,Worcester,42.1968,-71.7644,0.8766412204328657
1529,Millville,MA,Worcester,42.0331,-71.5798,0.8476088853421269
1531,New Braintree,MA,Worcester,42.3198,-72.1306,0.8453431670747752
1532,Northborough,MA,Worcester,42.3182,-71.6464,0.8651332193226793
1534,Northbridge,MA,Worcester,42.1494,-71.6564,0.9173762047328937
1535,North Brookfield,MA,Worcester,42.2665,-72.0821,0.11803918104069477
1536,North Grafton,MA,Worcester,42.2297,-71.7037,0.39177601446832044
1537,North Oxford,MA,Worcester,42.1655,-71.886,0.5533714179266476
1538,North Uxbridge,MA,Worcester,42.0876,-71.6412,0.6558184177950808
1540,Oxford,MA,Worcester,42.1129,-71.8687,0.43718814193803
1541,Princeton,MA,Worcester,42.4508,-71.8762,0.20284173830812025
1542,Rochdale,MA,Worcester,42.1997,-71.9069,0.6285008216820924
1543,Rutland,MA,Worcester,42.3762,-71.949,0.6223700455992094
1545,Shrewsbury,MA,Worcester,42.2848,-71.7205,0.6407288123574292
1546,Shrewsbury,MA,Worcester,42.3648,-71.8969,0.26336577723129895
1550,Southbridge,MA,Worcester,42.075,-72.0353,0.32961705820935017
1560,South Grafton,MA,Worcester,42.176,-71.6927,0.15467576982325226
1561,South Lancaster,MA,Worcester,42.4435,-71.6861,0.47636363743194643
1562,Spencer,MA,Worcester,42.2441,-71.9906,0.48761273583306786
1564,Sterling,MA,Worcester,42.4354,-71.7752,0.7298527906502121
1566,Sturbridge,MA,Worcester,42.1126,-72.0842,0.5826050215121475
1568,Upton,MA,Worcester,42.1756,-71.6032,0.05306219839097892
1569,Uxbridge,MA,Worcester,42.0744,-71.6329,0.9380429630639414
1570,Webster,MA,Worcester,42.0521,-71.8486,0.8405982390752232
1571,Dudley,MA,Worcester,42.0489,-71.8932,0.6184723603202633
1581,Westborough,MA,Worcester,42.2679,-71.6176,0.6632429877066855
1583,West Boylston,MA,Worcester,42.3584,-71.7838,0.9668096746991132
1585,West Brookfield,MA,Worcester,42.2441,-72.1511,0.02206454843683503
